ISPREMIER,AGE21PLUSINDICATOR,AGE18TO21INDICATOR,AGE13TO18INDICATOR,GENDERCODE,BIRTHDATE,LOYALTYEMAILOFFEROPTININDICATOR,REWARDSEMAILOPTININDICATOR,REWARDSMOBILEOPTININDICATOR,REWARDSSMSOPTININDICATOR,THEATREMOBILEOFFEROPTININDICATOR,THEATRESMSOFFEROPTININDICATOR,LIFETIMEAWARDSEARNEDAMOUNT,LIFETIMESPENDAMOUNT,ONLINEFEESWAIVEDAMOUNT,ESTIMATEDINCOMERANGE,ESTIMATEDHOMEMARKETVALUERANGE,CHILDRENPRESENCE,HASFREQUENTVISITTHEATRENUMBER,TICKETQTYSUM,TICKETBALANCEDUESUM,CONCQTYSUM,CONCLOYDISCOUNTAMTSUM,CONCBALANCEDUESUM
0,1,0,0,0,6/7/1968,1,1,0,0,0,0,170,1615.58,23.5,7,19,1,0,9,109.51,5,0,28.4
0,1,0,0,0,4/6/1969,1,1,0,0,0,0,0,6.9,0,7,19,1,1,3,34.47,0,0,0
0,1,0,0,0,3/1/1972,0,0,0,0,0,0,0,60.6,0,7,19,1,1,22,247.78,11,0,60.4
1,1,0,0,1,4/30/1961,1,1,0,0,0,0,0,40.44,600,7,19,1,1,18,230.12,5,-2,33.85
1,1,0,0,1,6/21/1968,1,1,1,0,1,0,509,4968.24,95,7,19,3,0,17,265.23,23,-5.32,142.47
1,1,0,0,1,10/11/1971,1,0,0,0,0,0,202,2025.8,26.5,7,19,3,0,25,339.71,3,0,23.18
1,1,0,0,1,12/26/1988,0,0,0,0,0,0,10,110.83,7,7,19,3,0,7,111.23,3,-1,13.15
0,1,0,0,3,6/18/1944,1,1,0,0,0,0,34,317.73,0,7,19,1,0,1,6.41,4,0,25.35
0,1,0,0,3,11/6/1946,0,0,0,0,0,0,0,20.3,7.5,7,19,3,0,6,80.26,0,0,0
1,1,0,0,3,7/12/1954,0,0,1,0,1,0,15,158.78,0,7,19,3,0,2,36.98,2,-1.5,13.72
0,1,0,0,3,1/20/1955,1,1,0,0,0,0,75,563.44,0,7,19,0,1,6,85.58,2,0,14.68
1,1,0,0,3,11/10/1956,0,1,0,0,0,0,0,8.4,3.75,7,19,1,0,6,88.44,3,-1,15.37
0,1,0,0,3,8/26/1959,1,1,0,0,0,0,305,2715.47,0,7,19,1,1,15,164.25,6,0,40.63
1,1,0,0,3,10/5/1960,1,1,1,0,1,0,55,538.52,0,7,19,1,0,10,133.64,11,-2,68.53
0,1,0,0,3,3/1/1964,1,1,0,0,0,0,460,4424.38,44,7,19,1,1,32,390.96,10,0,60.16
0,1,0,0,3,3/31/1964,1,1,0,0,0,0,0,2.58,0,7,19,3,0,1,12.89,0,0,0
0,1,0,0,3,1/31/1967,1,1,1,0,1,0,0,3.6,0,7,19,1,1,2,19.24,0,0,0
0,1,0,0,3,4/3/1968,1,1,0,0,0,0,120,1104.9,5,7,19,1,0,4,41.87,3,0,17.04
0,1,0,0,3,8/27/1968,1,1,0,0,0,0,10,110.42,2,7,19,0,0,2,25.98,5,0,27.63
0,1,0,0,3,5/8/1971,0,0,0,0,0,0,0,0,0,7,19,1,0,0,0,0,0,0
1,1,0,0,3,10/16/1971,0,0,0,0,0,0,230,2159.81,11,7,19,1,0,6,78.74,16,-3.5,93.84
0,1,0,0,3,9/17/1973,1,1,1,0,1,0,0,0,0,7,19,3,0,0,0,0,0,0
1,1,0,0,3,10/7/1975,1,1,0,0,0,0,100,1019.87,40,7,19,3,1,16,161.34,3,0,9.48
0,1,0,0,3,8/8/1978,1,1,0,0,0,0,0,6.7,3,7,19,0,0,3,19.47,2,0,14.51
0,1,0,0,3,4/1/1979,1,1,0,0,0,0,0,2.6,0,7,19,1,0,2,12.98,0,0,0
0,1,0,0,3,1/28/1982,0,1,0,0,0,0,90,945.01,17,7,19,3,1,0,0,0,0,0
0,1,0,0,3,5/20/1990,0,1,0,0,0,0,0,0,0,7,19,1,0,0,0,0,0,0
0,1,0,0,3,6/13/1990,0,1,0,0,0,0,0,0,0,7,19,3,0,0,0,0,0,0
0,1,0,0,3,3/8/1992,1,1,0,0,0,0,0,7.2,0,7,19,3,1,4,35.96,0,0,0
0,0,1,0,0,8/23/1996,1,1,0,0,0,0,0,0,0,9,19,0,0,0,0,0,0,0
0,0,1,0,0,11/20/1996,0,0,0,0,0,0,0,8.95,0,9,19,3,0,3,18.27,0,0,0
0,0,1,0,0,11/26/1997,1,1,0,0,0,0,0,5.2,2.5,9,19,1,0,2,25.98,0,0,0
0,0,0,1,0,3/6/1999,0,1,0,0,0,0,0,67.12,0,9,19,1,0,2,33.18,2,0,12.58
0,0,1,0,1,12/2/1995,0,0,0,0,0,0,0,0,0,9,19,1,0,0,0,0,0,0
0,0,0,1,1,12/1/1998,1,1,0,0,0,0,0,0,0,9,19,1,0,0,0,0,0,0
0,0,1,0,3,11/24/1995,1,1,0,0,0,0,120,1222,57,9,19,1,1,6,92.45,0,0,0
0,0,1,0,3,5/1/1996,0,0,0,0,0,0,0,8.7,3.75,9,19,1,0,3,43.47,0,0,0
0,0,1,0,3,3/25/1997,0,0,0,0,0,0,0,6.2,2.5,9,19,1,0,2,30.98,0,0,0
0,0,1,0,3,4/4/1997,1,1,0,0,0,0,0,10.2,2.5,9,19,1,0,2,28.12,0,0,0
0,0,0,1,3,1/1/2000,1,1,0,0,0,0,0,71.61,0,9,19,1,0,0,0,7,0,39.31
0,1,0,0,0,7/22/1955,1,1,0,0,0,0,0,0,0,9,19,1,0,0,0,0,0,0
1,1,0,0,0,5/25/1956,0,0,0,0,0,0,0,14.18,3.75,9,19,1,0,6,105.86,0,0,0
0,1,0,0,0,1/23/1958,0,0,0,0,0,0,0,12.8,3.75,9,19,1,0,3,38.97,0,0,0
1,1,0,0,0,5/21/1962,1,1,1,0,1,0,10,130.85,5.5,9,19,1,0,6,109.02,5,-1,24.36
0,1,0,0,0,8/26/1964,1,1,0,0,0,0,0,5.32,0,9,19,1,1,6,58.54,0,0,0
0,1,0,0,0,1/18/1966,1,1,1,0,1,0,0,46.66,0,9,19,1,0,13,120.87,2,0,13.14
0,1,0,0,0,11/10/1966,1,1,0,0,0,0,0,5.8,2.5,9,19,0,1,2,28.98,0,0,0
1,1,0,0,0,11/13/1968,1,1,0,0,0,0,0,31.4,12.5,9,19,1,0,12,129.64,6,-8.49,37.42
1,1,0,0,0,2/1/1970,1,1,1,0,1,0,45,306.96,0,9,19,1,0,6,32.8,0,0,0
1,1,0,0,0,2/12/1970,1,1,0,0,0,0,5,96.97,7.5,9,19,1,0,12,152.08,1,0,3.79
0,1,0,0,0,11/17/1971,1,1,0,0,0,0,0,0,0,9,19,1,0,0,0,0,0,0
0,1,0,0,0,12/5/1972,1,1,0,0,0,0,5,82.81,5,9,19,1,0,4,25.96,7,0,48.06
1,1,0,0,0,7/8/1973,1,1,1,0,1,0,160,1602.52,52,9,19,3,0,5,73.35,7,-2.5,43.36
0,1,0,0,0,4/22/1974,1,1,0,0,0,0,0,8.2,5,9,19,1,1,4,40.96,0,0,0
0,1,0,0,0,12/5/1975,0,1,0,0,0,0,0,6.3,3.75,9,19,3,0,3,31.47,0,0,0
1,1,0,0,0,6/28/1983,1,1,0,0,0,0,0,22.7,8.75,9,19,3,0,19,229.31,0,0,0
1,1,0,0,0,7/28/1988,1,1,1,0,1,0,45,329.25,5.75,9,19,0,0,6,74.94,1,-1,9.2
0,1,0,0,0,8/30/1990,0,1,0,0,0,0,0,16.06,2.5,9,19,1,1,2,39.98,13,0,75.51
0,1,0,0,0,8/22/1992,1,1,0,0,0,0,0,20.8,0,9,19,1,1,8,103.92,0,0,0
1,1,0,0,1,1/30/1948,1,1,0,0,0,0,134,1217.56,48.5,9,19,1,1,5,62.45,7,-1,40.07
1,1,0,0,1,9/21/1956,1,1,0,0,0,0,15,190.14,15.5,9,19,1,0,6,83.64,2,-1.5,12.14
1,1,0,0,1,10/30/1958,0,0,0,0,0,0,0,21.7,6.25,9,19,1,0,5,77.45,2,0,6.53
0,1,0,0,1,1/1/1960,1,1,0,0,0,0,0,0,0,9,19,1,0,0,0,0,0,0
1,1,0,0,1,9/4/1960,1,1,1,0,1,0,0,3.7,0,9,19,1,1,7,77.45,3,-2,21.47
1,1,0,0,1,12/27/1960,0,0,0,0,0,0,20,185.57,7.5,9,19,1,1,12,152.67,0,0,0
0,1,0,0,1,3/8/1961,0,1,0,0,0,0,0,28.78,7.5,9,19,1,1,6,100.94,4,0,19.42
0,1,0,0,1,4/16/1967,1,1,1,0,1,0,0,0,0,9,19,1,0,0,0,0,0,0
0,1,0,0,1,4/24/1967,1,1,1,0,0,0,65,673.62,14,9,19,1,0,0,0,3,0,17.12
1,1,0,0,1,11/11/1967,1,1,1,0,1,0,270,2580.99,2,9,19,1,0,4,25.96,7,-1.5,42.25
1,1,0,0,1,7/6/1968,0,0,0,0,0,0,0,27.8,7.5,9,19,1,0,12,233.88,0,0,0
1,1,0,0,1,11/24/1968,0,0,1,0,1,0,540,5329.74,235,9,19,1,0,14,184.95,29,-1,261.36
1,1,0,0,1,8/21/1970,0,0,0,0,0,0,0,17.34,5,9,19,3,0,8,96.44,19,-2.5,109.03
0,1,0,0,1,10/30/1971,1,1,1,0,1,0,0,10.46,0,9,19,1,0,2,39.94,3,0,16.5
0,1,0,0,1,6/22/1972,1,1,0,0,0,0,0,8.32,10,9,19,3,1,8,42.8,0,0,0
0,1,0,0,1,9/12/1976,1,1,0,0,0,0,0,18.98,2.5,9,19,1,0,2,29.18,3,-1,13.14
0,1,0,0,1,1/15/1978,1,1,0,0,0,0,0,0,0,9,19,0,0,0,0,0,0,0
0,1,0,0,1,4/20/1984,1,1,1,0,1,0,0,15.4,1.25,9,19,1,0,2,26.99,0,0,0
0,1,0,0,1,1/18/1988,0,0,0,0,0,0,20,230.66,12,9,19,0,0,4,74.36,0,0,0
0,1,0,0,1,8/12/1988,0,0,0,0,0,0,0,0,0,9,19,1,0,0,0,0,0,0
1,1,0,0,1,7/11/1989,1,1,0,0,0,0,29,304.46,1.25,9,19,3,0,4,57.56,0,0,0
0,1,0,0,1,7/12/1991,0,1,0,0,0,0,0,0,0,9,19,3,0,0,0,0,0,0
0,1,0,0,3,2/21/1934,1,1,0,0,0,0,0,0,0,9,19,0,0,0,0,0,0,0
0,1,0,0,3,9/26/1941,0,1,0,0,0,0,0,12.02,5,9,19,0,0,4,47.96,2,0,12.52
0,1,0,0,3,8/11/1945,1,1,0,0,0,0,100,1013.06,3,9,19,0,1,2,15.28,0,0,0
0,1,0,0,3,10/11/1945,1,1,0,0,0,0,0,0,0,9,19,1,0,0,0,0,0,0
0,1,0,0,3,10/25/1945,0,0,0,0,0,0,230,2328.4,14.25,9,19,1,1,12,137.68,5,0,27.51
0,1,0,0,3,10/19/1947,1,1,0,0,0,0,125,1212.8,22,9,19,1,0,4,38.96,0,0,0
0,1,0,0,3,11/17/1950,1,1,0,0,0,0,0,32.54,0,9,19,3,1,10,115.3,4,0,22.04
0,1,0,0,3,6/8/1951,1,1,0,0,0,0,0,3.82,0,9,19,0,0,0,0,3,0,20.03
0,1,0,0,3,8/5/1952,1,1,0,0,0,0,0,0,0,9,19,1,0,0,0,0,0,0
0,1,0,0,3,1/19/1955,1,1,1,0,1,0,0,3.54,0,9,19,0,0,0,0,6,0,39.44
0,1,0,0,3,5/13/1955,1,1,0,0,0,0,130,1296.22,2,9,19,1,1,0,0,0,0,0
1,1,0,0,3,10/13/1955,1,1,1,0,1,0,655,6440.44,168,9,19,0,1,10,97.62,59,0,442.29
0,1,0,0,3,12/9/1955,5,1,1,0,1,0,0,0,0,9,19,1,0,0,0,1,0,0
0,1,0,0,3,2/12/1956,0,0,0,0,0,0,10,9.8,4.5,9,19,0,0,2,25.66,0,0,0
1,1,0,0,3,7/21/1956,1,1,1,0,1,0,561.5,5432.5,7,9,19,1,0,35,456.93,38,-1.5,185.59
0,1,0,0,3,9/6/1957,1,1,1,0,1,0,0,1.62,0,9,19,1,0,0,0,2,0,16.58
0,1,0,0,3,2/18/1958,1,1,0,0,0,0,0,0,0,9,19,0,0,0,0,0,0,0
1,1,0,0,3,5/26/1958,1,1,1,0,1,0,289,2898.64,65.75,9,19,0,0,24,256.96,20,-2,109.32
0,1,0,0,3,6/2/1958,0,1,0,0,0,0,0,0,0,9,19,1,0,0,0,0,0,0
0,1,0,0,3,9/26/1959,1,1,0,0,0,0,140,1434.24,26,9,19,0,1,9,116.91,3,0,18.44
0,1,0,0,3,4/17/1960,1,1,1,0,1,0,0,1.62,0,9,19,1,0,0,0,1,0,8.09
0,1,0,0,3,5/14/1961,1,1,0,0,0,0,0,4.6,0,9,19,1,1,4,30.96,0,0,0
1,1,0,0,3,9/13/1961,0,0,0,0,0,0,0,0,0,9,19,1,0,8,100.96,0,0,0
0,1,0,0,3,11/18/1961,1,1,0,0,0,0,0,3.68,0,9,19,1,0,0,0,3,0,18.94
1,1,0,0,3,11/20/1961,1,1,1,0,1,0,155,1425.16,0,9,19,1,1,8,137.92,7,0,39.41
0,1,0,0,3,3/18/1962,0,1,0,0,0,0,0,5.8,2.5,9,19,1,0,2,28.98,0,0,0
0,1,0,0,3,5/7/1962,1,1,0,0,0,0,15,154.04,0,9,19,3,0,0,0,0,0,0
0,1,0,0,3,3/15/1963,1,1,0,0,0,0,0,5.98,0,9,19,1,0,3,19.47,2,0,10.88
0,1,0,0,3,4/21/1963,0,0,0,0,0,0,0,0,0,9,19,3,0,0,0,0,0,0
0,1,0,0,3,4/22/1963,5,0,0,0,0,0,0,0,0,9,19,1,0,0,0,0,0,0
0,1,0,0,3,12/16/1963,1,1,0,0,0,0,0,0,0,9,19,1,0,0,0,0,0,0
0,1,0,0,3,4/11/1964,1,1,0,0,0,0,0,16.42,0,9,19,1,0,7,54.43,5,0,28.87
0,1,0,0,3,6/11/1964,0,0,0,0,0,0,0,16.3,8.75,9,19,0,1,7,81.43,0,0,0
0,1,0,0,3,6/25/1964,0,0,0,0,0,0,0,11.6,3.75,9,19,0,0,3,32.97,0,0,0
1,1,0,0,3,7/4/1964,1,1,1,0,1,0,255,2520.85,0,9,19,1,1,7,68.93,7,-2,43.27
0,1,0,0,3,1/21/1965,1,1,0,0,0,0,154,1510.68,0,9,19,1,0,6,62.93,10,0,46.88
0,1,0,0,3,1/22/1965,1,1,0,0,0,0,322.5,3069.22,63,9,19,1,1,16,190.94,10,-1,75.8
0,1,0,0,3,5/21/1965,1,1,0,0,0,0,0,14.76,0,9,19,1,0,6,65.64,1,0,8.09
1,1,0,0,3,9/13/1965,1,1,1,0,1,0,290,2829.04,150,9,19,0,0,21,281.88,14,-3,77.28
0,1,0,0,3,10/12/1965,0,0,0,0,0,0,0,13.4,5,9,19,1,0,4,45.44,0,0,0
1,1,0,0,3,11/9/1965,1,1,1,0,1,0,160,1613.18,32.5,9,19,3,0,28,308.17,74,0,392.49
0,1,0,0,3,1/14/1966,1,1,1,0,1,0,0,0,0,9,19,0,0,0,0,0,0,0
0,1,0,0,3,1/1/1967,1,1,0,0,0,0,50,446.13,3,9,19,1,0,3,24,2,0,14.51
0,1,0,0,3,2/21/1967,1,1,0,0,0,0,0,44.7,0,9,19,1,0,13,120.87,10,0,55.91
0,1,0,0,3,7/11/1967,0,0,0,0,0,0,0,0,0,9,19,1,0,0,0,0,0,0
0,1,0,0,3,12/25/1967,1,1,0,0,0,0,0,11.3,0,9,19,1,0,0,0,12,0,69.88
0,1,0,0,3,9/19/1968,0,0,0,0,0,0,0,9.9,2.5,9,19,1,0,2,24.48,0,0,0
0,1,0,0,3,10/28/1968,1,1,0,0,0,0,105,1068.55,10,9,19,1,1,0,0,0,0,0
0,1,0,0,3,3/21/1969,1,1,1,0,1,0,0,19.96,0,9,19,3,0,0,0,0,0,0
0,1,0,0,3,9/25/1969,1,1,0,0,0,0,0,5.34,0,9,19,0,0,0,0,4,0,27.58
0,1,0,0,3,9/28/1969,1,1,0,0,0,0,0,0,0,9,19,1,0,0,0,0,0,0
0,1,0,0,3,11/1/1969,1,1,0,0,0,0,50,525.27,4,9,19,0,1,0,0,0,0,0
0,1,0,0,3,2/12/1970,1,1,0,0,0,0,50,400,0,9,19,0,0,2,16,0,0,0
0,1,0,0,3,5/17/1970,1,1,0,0,0,0,0,0,0,9,19,3,0,0,0,0,0,0
0,1,0,0,3,7/15/1970,1,1,1,0,1,0,0,7.48,0,9,19,1,0,0,0,0,0,0
1,1,0,0,3,8/30/1970,0,0,1,0,1,0,265,2609.2,142,9,19,3,0,19,246.51,2,-1.5,13.14
1,1,0,0,3,11/21/1970,1,1,1,0,1,0,0,4.04,0,9,19,3,0,3,38.97,4,-1,27.66
0,1,0,0,3,7/5/1972,1,1,0,0,0,0,90,908.76,7,9,19,1,0,2,27,3,0,17.73
0,1,0,0,3,3/8/1973,1,1,0,0,0,0,0,0,0,9,19,0,0,0,0,0,0,0
1,1,0,0,3,7/23/1974,1,1,1,0,1,0,409,3867.97,34,9,19,0,0,6,101.14,10,-1,45.6
0,1,0,0,3,10/6/1974,1,1,0,0,0,0,0,18.32,5,9,19,1,1,7,83.43,9,-2,54.89
0,1,0,0,3,1/1/1975,1,1,0,0,0,0,0,3,0,9,19,1,0,0,0,4,0,15.49
0,1,0,0,3,9/30/1975,0,1,0,0,0,0,150,1529.95,3,9,19,0,1,8,77.62,13,0,61.31
0,1,0,0,3,5/3/1976,0,0,0,0,0,0,0,9.6,0,9,19,1,0,2,22.98,0,0,0
1,1,0,0,3,8/10/1976,1,1,1,0,1,0,145,1439.91,23,9,19,3,0,4,72.16,11,-11,60.34
0,1,0,0,3,10/9/1976,0,0,0,0,0,0,255,2276.56,10.5,9,19,1,1,5,50.75,6,0,37.36
0,1,0,0,3,8/24/1977,0,1,0,0,0,0,0,16.04,5,9,19,1,0,4,37.4,3,0,21.6
0,1,0,0,3,9/6/1978,1,1,0,0,0,0,365,3461.97,37,9,19,1,1,2,17.98,6,0,40.46
1,1,0,0,3,11/27/1979,0,1,0,0,0,0,170,1439.48,86,9,19,0,1,11,237.89,0,0,0
0,1,0,0,3,2/18/1980,1,1,0,0,0,0,0,31.78,0,9,19,1,1,10,129.1,17,0,87.04
1,1,0,0,3,7/21/1980,1,1,0,0,0,0,70,681.09,0,9,19,1,0,5,65.45,10,-2,67.8
1,1,0,0,3,10/15/1980,1,0,1,0,1,0,0,16.1,0,9,19,1,0,6,39.51,2,0,6.94
0,1,0,0,3,4/8/1983,1,1,0,0,0,0,120,1205.18,6,9,19,1,0,2,25.18,0,0,0
0,1,0,0,3,12/8/1986,0,0,0,0,0,0,20,173.19,1.25,9,19,1,0,3,61.97,0,0,0
0,1,0,0,3,4/1/1987,0,0,0,0,0,0,0,7.5,6.25,9,19,1,0,5,40.55,0,0,0
0,1,0,0,3,4/18/1987,0,0,1,0,1,0,0,8.24,0,9,19,1,0,1,11.49,2,0,5.11
0,1,0,0,3,5/17/1988,1,1,0,0,0,0,0,36.24,0,9,19,0,1,12,182.88,9,0,51.4
0,1,0,0,3,1/1/1990,1,1,0,0,0,0,0,8.4,0,9,19,1,0,0,0,8,0,41.92
0,1,0,0,3,3/19/1991,0,0,1,0,1,0,0,2,0,9,19,1,0,0,0,2,0,10.87
1,1,0,0,3,2/19/1973,1,1,1,0,1,0,96,930.47,1,1,19,1,0,8,67.21,8,0,51.07
0,0,1,0,0,3/12/1997,0,0,0,0,0,0,0,32.4,5,0,19,3,0,4,55.96,0,0,0
0,0,1,0,0,9/8/1997,0,1,0,0,0,0,0,19.8,0,0,19,3,0,4,48.96,1,0,0
0,0,0,1,0,10/6/2000,1,1,0,0,0,0,0,4.36,0,0,19,3,0,2,21.78,0,0,0
